,City,Lat,Lng,maxTemp,humidity,clouds,windspeed,country,date
250,fomboni,-12.28,43.7425,76.26,73,10,11.21,KM,1658596824
251,woodstock,43.1334,-80.7497,87.66,86,100,18.99,CA,1658596824
252,dhanbad,23.8,86.45,82.54,76,99,10.07,IN,1658596825
253,bang khla,13.7214,101.2081,84.33,87,100,4.0,TH,1658596825
254,nome,64.5011,-165.4064,46.47,93,100,11.5,US,1658596825
255,lucapa,-8.4192,20.7447,81.1,23,37,1.99,AO,1658596826
256,kolosovka,56.4678,73.611,53.71,87,85,6.91,RU,1658596826
257,sehithwa,-20.4667,22.7167,72.27,28,45,4.07,BW,1658596826
258,manono,-7.3,27.4167,83.39,29,12,4.38,CD,1658596827
259,anqing,30.5092,117.0506,77.86,83,80,4.63,CN,1658596827
260,ketchikan,55.3422,-131.6461,57.67,88,100,12.66,US,1658596827
261,prince rupert,54.3161,-130.3201,60.1,75,96,2.57,CA,1658596828
262,igrim,63.1906,64.4162,54.77,60,35,6.04,RU,1658596828
263,sitka,57.0531,-135.33,55.29,88,100,0.0,US,1658596828
264,iwanai,42.9744,140.5089,65.73,97,90,4.05,JP,1658596829
265,seydi,39.4816,62.9137,99.32,16,0,18.03,TM,1658596829
266,dakar,14.6937,-17.4441,78.93,94,75,4.61,SN,1658596605
267,ponta delgada,37.7333,-25.6667,72.32,83,75,8.05,PT,1658596829
268,pitanga,-24.7572,-51.7614,74.84,40,100,5.08,BR,1658596830
269,riyadh,24.6877,46.7219,104.14,10,86,10.94,SA,1658596830
270,cururupu,-1.8283,-44.8683,88.54,51,100,6.15,BR,1658596830
271,klaksvik,62.2266,-6.589,52.72,87,100,15.99,FO,1658596831
272,zhifang,30.35,114.3167,75.18,73,33,2.84,CN,1658596730
273,norrtalje,59.758,18.705,66.83,53,100,7.31,SE,1658596831
274,vuktyl,63.8567,57.3094,54.66,84,54,3.33,RU,1658596831
275,tecoanapa,16.5167,-98.75,83.62,71,100,2.77,MX,1658596832
276,huallanca,-9.8993,-76.9417,58.96,36,60,6.76,PE,1658596832
277,camacha,33.0833,-16.3333,71.02,73,40,13.8,PT,1658596832
278,asau,46.4333,26.4,83.32,65,79,2.46,RO,1658596833
279,soto la marina,23.7667,-98.2167,93.78,35,6,11.32,MX,1658596833
280,virginia beach,36.8529,-75.978,97.02,59,75,3.44,US,1658596831
281,charyshskoye,51.3978,83.5598,55.47,88,22,5.93,RU,1658596833
282,airai,-8.9266,125.4092,51.62,84,7,1.66,TL,1658596834
283,bubaque,11.2833,-15.8333,80.02,81,91,13.96,GW,1658596694
284,bilma,18.6853,12.9164,103.42,15,11,0.43,NE,1658596834
285,kaitangata,-46.2817,169.8464,34.03,89,14,3.49,NZ,1658596834
286,karratha,-20.7377,116.8463,64.63,34,0,14.25,AU,1658596835
287,mafinga,-7.25,35.0667,70.75,47,9,10.36,TZ,1658596835
288,jalingo,8.8833,11.3667,72.72,95,100,3.53,NG,1658596835
289,bonfim,3.0833,-59.95,83.84,69,90,4.94,BR,1658596836
290,pangnirtung,66.1451,-65.7125,44.6,87,20,10.36,CA,1658596836
291,bongor,10.2806,15.3722,81.7,66,82,4.61,TD,1658596837
292,haapiti,-17.5667,-149.8667,74.93,71,9,15.41,PF,1658596837
293,kremasti,36.4111,28.1189,89.53,35,0,17.27,GR,1658596837
294,olafsvik,64.8945,-23.7142,53.85,73,94,10.4,IS,1658596837
295,mahebourg,-20.4081,57.7,71.26,83,40,14.97,MU,1658596838
296,lima,-12.0432,-77.0282,62.85,72,75,8.05,PE,1658596728
297,los llanos de aridane,28.6585,-17.9182,73.31,78,14,4.7,ES,1658596838
298,luoyang,34.6836,112.4536,75.88,62,0,1.21,CN,1658596839
299,roros,62.5747,11.3842,66.04,39,98,5.75,NO,1658596839
300,sao joao da barra,-21.6403,-41.0511,82.49,69,0,14.7,BR,1658596840
301,xuddur,4.1213,43.8894,77.47,54,46,23.55,SO,1658596840
302,zima,53.9202,102.0442,53.94,95,38,3.4,RU,1658596840
303,sabang,5.8933,95.3214,81.86,77,68,10.51,ID,1658596840
304,okato,-39.2,173.8833,45.18,70,100,3.0,NZ,1658596841
305,ust-kuyga,70.0167,135.6,59.34,80,73,4.32,RU,1658596841
306,johor bahru,1.4655,103.7578,80.51,88,75,1.14,MY,1658596842
307,flin flon,54.7682,-101.865,58.84,82,75,9.22,CA,1658596842
308,dinar,38.065,30.1656,82.36,23,0,11.03,TR,1658596842
309,carinhanha,-14.3047,-43.765,87.84,25,0,7.05,BR,1658596843
310,hongjiang,27.11,109.9956,78.53,82,77,4.14,CN,1658596843
311,mitu,1.1983,-70.1733,73.78,98,100,2.8,CO,1658596843
312,constitucion,-35.3333,-72.4167,57.45,79,100,4.38,CL,1658596844
313,jumla,29.2747,82.1838,63.48,98,93,2.66,NP,1658596844
314,atar,20.5169,-13.0499,100.87,28,63,5.82,MR,1658596844
315,altay,47.8667,88.1167,61.66,38,72,2.93,CN,1658596845
316,jamsa,61.8642,25.19,63.14,94,93,7.78,FI,1658596845
317,nyurba,63.2842,118.3319,61.83,87,1,6.31,RU,1658596845
318,pronsk,54.1048,39.6092,69.22,73,74,6.22,RU,1658596846
319,caldwell,43.6629,-116.6874,83.62,29,0,6.91,US,1658596846
320,dingle,10.9995,122.6711,77.2,89,95,1.97,PH,1658596846
321,daru,-9.0763,143.2092,76.08,92,86,13.35,PG,1658596847
322,sola,-13.8833,167.55,79.84,79,17,9.62,VU,1658596847
323,puerto colombia,10.9878,-74.9547,87.89,74,41,7.16,CO,1658596847
324,kavieng,-2.5744,150.7967,82.44,74,0,10.98,PG,1658596848
325,berck,50.4,1.6,67.59,65,52,10.83,FR,1658596848
326,tyukalinsk,55.8732,72.1967,58.19,66,93,6.64,RU,1658596848
327,pierre,44.3683,-100.351,85.89,39,99,19.48,US,1658596849
328,kichmengskiy gorodok,59.9816,45.7854,70.81,75,27,4.81,RU,1658596849
329,praya,14.9215,-23.5087,81.14,78,75,11.5,CV,1658596735
330,sibut,5.718,19.0739,74.05,90,43,2.86,CF,1658596849
331,izyum,49.2088,37.2485,67.42,69,92,5.03,UA,1658596850
332,north bend,43.4065,-124.2243,63.91,87,100,8.05,US,1658596739
333,madimba,-10.4,40.3333,73.06,76,3,12.84,TZ,1658596850
334,magnitogorsk,53.4186,59.0472,67.41,61,9,3.98,RU,1658596712
335,huntsville,34.7304,-86.5861,90.9,63,40,5.01,US,1658596813
336,port augusta,-32.5,137.7667,50.97,64,0,5.19,AU,1658596851
337,oschersleben,52.0333,11.25,74.01,33,8,14.29,DE,1658596851
338,waipawa,-41.4122,175.5153,42.76,86,100,4.29,NZ,1658596851
339,hobyo,5.3505,48.5268,76.66,82,49,28.97,SO,1658596852
340,taoudenni,22.6783,-3.9836,112.77,5,0,10.6,ML,1658596852
341,porto velho,-8.7619,-63.9039,93.25,40,40,4.61,BR,1658596604
342,teberda,43.4456,41.7448,51.93,91,46,4.76,RU,1658596852
343,kungurtug,50.5994,97.5228,45.12,94,63,1.41,RU,1658596853
344,novoagansk,61.9449,76.6625,50.2,82,99,10.85,RU,1658596853
345,along,28.1667,94.7667,75.94,84,84,0.83,IN,1658596853
346,samana,19.2056,-69.3369,87.76,65,59,10.83,DO,1658596854
347,nurobod,40.9056,69.8023,89.71,13,0,1.48,UZ,1658596854
348,krasnoselkup,65.7,82.4667,58.82,89,62,5.03,RU,1658596854
349,constantine,36.365,6.6147,94.41,26,20,12.66,DZ,1658596855
350,caohai,26.8661,104.2841,59.58,93,99,5.61,CN,1658596855
351,gazli,40.1333,63.45,101.93,14,0,18.99,UZ,1658596855
352,tautira,-17.7333,-149.15,78.75,73,4,16.58,PF,1658596855
353,payo,-3.7508,103.6372,73.35,99,98,2.35,ID,1658596856
354,kupang,-10.1667,123.5833,69.85,69,48,8.55,ID,1658596856
355,warwick,41.7001,-71.4162,97.39,42,20,5.75,US,1658596568
356,awjilah,29.1081,21.2869,94.6,17,0,9.75,LY,1658596857
357,nha trang,12.25,109.1833,78.8,89,82,3.51,VN,1658596734
358,rovenki,48.0833,39.3776,64.72,62,70,6.73,UA,1658596857
359,finnsnes,69.2296,17.9811,54.75,83,100,4.18,NO,1658596857
360,buffalo,42.8865,-78.8784,87.71,55,75,12.66,US,1658596742
361,santiago,-33.4569,-70.6483,70.29,51,33,5.75,CL,1658596797
362,alofi,-19.0595,-169.9187,74.61,76,45,20.31,NU,1658596858
363,westport,41.1415,-73.3579,89.82,36,83,4.5,US,1658596858
364,altona,53.55,9.9333,65.95,55,40,10.09,DE,1658596858
365,aguilas,37.4063,-1.5829,87.75,50,0,5.75,ES,1658596859
366,hulst,51.28,4.0528,83.08,53,92,3.0,NL,1658596859
367,santa fe,-31.6333,-60.7,78.03,64,0,3.0,AR,1658596634
368,kamina,-8.7386,24.9906,75.15,29,37,5.3,CD,1658596859
369,honningsvag,70.9821,25.9704,51.55,87,100,18.41,NO,1658596860
370,madang,-5.2246,145.7966,76.78,92,33,2.51,PG,1658596860
371,fare,-16.7,-151.0167,78.91,73,0,13.85,PF,1658596860
372,orgovany,46.7509,19.4726,101.77,11,62,9.86,HU,1658596861
373,salinopolis,-0.6136,-47.3561,84.74,68,97,10.54,BR,1658596861
374,humberto de campos,-2.5983,-43.4611,91.6,43,72,4.36,BR,1658596861
375,tyrma,50.0833,132.1667,58.57,94,64,2.26,RU,1658596862
376,veraval,20.9,70.3667,80.87,85,97,16.58,IN,1658596862
377,zavodoukovsk,56.5042,66.5515,55.17,82,70,4.34,RU,1658596862
378,kuito,-12.3833,16.9333,67.24,29,37,4.07,AO,1658596863
379,ilhabela,-23.7781,-45.3581,76.68,53,44,4.5,BR,1658596863
380,black river,18.0264,-77.8487,85.89,68,61,9.08,JM,1658596863
381,revelganj,25.7833,84.6667,84.11,55,99,10.6,IN,1658596864
382,miraflores,19.2167,-98.8083,67.08,63,30,1.36,MX,1658596864
383,san jeronimo,-11.9472,-75.2829,61.61,34,24,2.39,PE,1658596864
384,flinders,-34.5833,150.8552,49.37,91,9,5.01,AU,1658596865
385,tikrit,34.6071,43.6782,97.57,10,0,9.89,IQ,1658596865
386,geraldton,-28.7667,114.6,59.41,63,75,19.57,AU,1658596761
387,san vicente,-26.6167,-54.1333,78.96,39,85,6.87,AR,1658596866
388,petrovsk,52.3064,45.3917,62.26,93,72,8.08,RU,1658596866
389,bengkulu,-3.8004,102.2655,76.66,91,96,5.1,ID,1658596866
390,liverpool,53.4106,-2.9779,70.7,75,75,14.97,GB,1658596867
391,blind river,46.1834,-82.9582,77.92,52,27,8.55,CA,1658596867
392,deer lake,49.1667,-57.4316,80.46,50,75,13.8,CA,1658596867
393,henties bay,-22.116,14.2845,57.0,84,1,9.33,NA,1658596868
394,kokkola,63.8385,23.1307,65.93,65,0,8.05,FI,1658596868
395,srandakan,-7.9386,110.2506,75.88,86,94,8.63,ID,1658596868
396,pecos,31.4229,-103.4932,93.29,33,0,5.75,US,1658596869
397,wawa,9.9022,4.4192,74.52,91,100,7.14,NG,1658596869
398,sabha,27.0377,14.4283,93.52,15,0,8.72,LY,1658596870
399,la palma,33.8464,-118.0467,78.22,77,100,6.91,US,1658596870
400,port moresby,-9.4431,147.1797,76.42,94,75,17.27,PG,1658596870
401,seminole,28.7086,-81.2081,95.34,70,11,7.11,US,1658596871
402,verkhnevilyuysk,63.4453,120.3167,60.73,86,3,3.87,RU,1658596871
403,jacareacanga,-6.2222,-57.7528,98.1,21,7,3.89,BR,1658596871
404,pontianak,-0.0333,109.3333,76.98,94,75,3.44,ID,1658596872
405,moree,-29.4667,149.85,50.04,74,13,7.52,AU,1658596872
406,swan hill,-35.3378,143.5544,53.2,89,71,5.73,AU,1658596872
407,broome,42.2506,-75.833,91.69,43,0,10.36,US,1658596873
408,bambanglipuro,-7.95,110.2833,75.69,87,89,8.9,ID,1658596873
409,kamaishi,39.2667,141.8833,69.69,94,100,1.3,JP,1658596873
410,sao gabriel da cachoeira,-0.1303,-67.0892,85.8,74,40,5.75,BR,1658596874
411,namatanai,-3.6667,152.4333,78.6,79,3,6.31,PG,1658596874
412,ucluelet,48.9329,-125.5528,60.85,76,21,3.15,CA,1658596874
413,hay river,60.8156,-115.7999,67.98,52,13,11.5,CA,1658596809
414,busayra,30.7376,35.6078,77.7,36,2,9.84,JO,1658596875
415,eldorado,-23.7869,-54.2836,83.7,32,18,10.09,BR,1658596875
416,vardo,70.3705,31.1107,53.58,82,75,13.8,NO,1658596876
417,prieska,-29.6641,22.7474,57.92,40,52,16.82,ZA,1658596876
418,huarmey,-10.0681,-78.1522,65.68,77,93,8.08,PE,1658596876
419,caravelas,-17.7125,-39.2481,77.76,60,0,7.4,BR,1658596877
420,kemin,42.7846,75.6892,74.21,34,2,2.89,KG,1658596877
421,coihaique,-45.5752,-72.0662,32.61,69,100,3.44,CL,1658596688
422,nsoko,-27.0333,31.95,67.26,60,42,5.91,SZ,1658596877
423,rawson,-43.3002,-65.1023,38.48,99,100,15.7,AR,1658596878
424,smithers,54.7804,-127.1743,61.12,67,40,5.75,CA,1658596878
425,tarakan,3.3,117.6333,81.25,77,70,4.9,ID,1658596878
426,buala,-8.145,159.5921,78.48,84,6,3.65,SB,1658596879
427,bastia,42.6667,9.3333,91.2,69,0,4.61,FR,1658596879
428,carahue,-38.7,-73.1667,54.23,88,100,4.43,CL,1658596793
429,nouakchott,18.0858,-15.9785,79.59,80,45,12.91,MR,1658596880
430,vao,-22.6667,167.4833,74.73,85,17,21.16,NC,1658596880
431,neverkino,52.7854,46.7417,63.43,89,79,6.87,RU,1658596880
432,hastings,50.8552,0.5729,76.73,51,88,15.7,GB,1658596855
433,grand gaube,-20.0064,57.6608,71.38,70,18,5.99,MU,1658596881
434,port hedland,-20.3167,118.5667,66.25,63,0,10.36,AU,1658596881
435,vila velha,-20.3297,-40.2925,82.35,67,40,14.97,BR,1658596881
436,ovsyanka,55.9575,92.5519,52.77,93,2,3.76,RU,1658596882
437,el alto,-4.2714,-81.2147,74.86,68,38,12.39,PE,1658596882
438,antsohihy,-14.8796,47.9875,71.33,58,36,4.23,MG,1658596882
439,pandegelang,-6.31,106.1058,72.72,94,46,1.01,ID,1658596883
440,college,64.8569,-147.8028,53.92,88,40,5.75,US,1658596883
441,san onofre,9.7359,-75.5263,83.32,78,100,8.34,CO,1658596883
442,cayenne,4.9333,-52.3333,84.31,69,67,9.1,GF,1658596884
443,nieuw amsterdam,5.8833,-55.0833,89.62,69,20,6.91,SR,1658596884
444,kavaratti,10.5669,72.642,81.18,80,100,17.6,IN,1658596759
445,cape coast,5.1053,-1.2466,76.87,75,81,10.54,GH,1658596596
446,gornopravdinsk,60.05,69.9,49.75,81,92,3.65,RU,1658596885
447,preobrazheniye,42.9019,133.9064,62.29,95,100,5.37,RU,1658596885
448,srednekolymsk,67.45,153.6833,46.36,63,0,8.72,RU,1658596885
449,guacui,-20.7756,-41.6794,80.56,37,3,4.79,BR,1658596886
450,jiehu,35.5428,118.455,70.5,91,0,2.39,CN,1658596886
451,eureka,40.8021,-124.1637,61.2,84,26,1.01,US,1658596887
452,baisha,26.5222,110.9311,77.77,86,12,4.54,CN,1658596887
453,barra patuca,15.8,-84.2833,81.95,85,100,10.63,HN,1658596888
454,alot,23.7667,75.55,76.03,94,100,11.97,IN,1658596888
455,richards bay,-28.783,32.0377,67.6,79,0,6.67,ZA,1658596888
456,waitara,-38.925,174.25,46.49,76,100,8.57,NZ,1658596889
457,oyem,1.5995,11.5793,70.9,91,100,2.66,GA,1658596889
458,yenagoa,4.9247,6.2642,77.99,73,100,6.69,NG,1658596889
459,la paz,-16.5,-68.15,64.38,11,0,8.05,BO,1658596822
460,komsomolskiy,40.4272,71.7189,92.12,31,0,6.91,UZ,1658596890
461,bang saphan,11.2126,99.5117,76.44,93,100,4.76,TH,1658596890
462,helong,42.5397,128.9972,63.73,99,100,2.53,CN,1658596890
463,ondangwa,-17.9167,15.95,72.7,23,0,7.7,NA,1658596891
464,margate,51.3813,1.3862,76.87,46,87,1.01,GB,1658596736
465,ugoofaaru,5.6667,73.0,82.0,79,47,14.74,MV,1658596891
466,bahir dar,11.5936,37.3908,63.99,92,90,5.39,ET,1658596892
467,namibe,-15.1961,12.1522,64.65,86,5,5.97,AO,1658596892
468,meaford,44.6001,-80.583,88.12,57,48,14.47,CA,1658596892
469,boa vista,2.8197,-60.6733,83.08,72,91,8.08,BR,1658596749
470,marsa matruh,31.3525,27.2453,80.8,74,0,17.27,EG,1658596893
471,basco,20.4487,121.9702,84.51,76,53,6.93,PH,1658596893
472,jinchang,38.4953,102.1739,78.82,22,10,4.88,CN,1658596893
473,rayagada,19.1667,83.4167,77.97,92,100,3.51,IN,1658596894
474,yarega,63.4354,53.5765,63.64,57,60,4.94,RU,1658596894
475,half moon bay,37.4636,-122.4286,72.88,77,100,14.97,US,1658596895
476,mazagao,-0.115,-51.2894,93.25,46,52,4.27,BR,1658596895
477,thohoyandou,-22.9456,30.485,65.12,50,26,3.44,ZA,1658596895
478,marawi,7.9986,124.2928,69.24,94,100,2.95,PH,1658596896
